제목,링크,접수기간,상태,PDF 파일명,PDF 내용
2025 소담스퀘어 광주 지원사업 모집 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2176&sst=wr_datetime&sod=desc&page=8,2025.02.01 ~ 2025.12.31,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
임산부 직장맘 고용유지 지원사업 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2174&sst=wr_datetime&sod=desc&page=8,2025.02.25 ~ 예산소진시,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년 소상공인 신규채용 인건비 지원사업 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2168&sst=wr_datetime&sod=desc&page=8,2025.02.17 ~ 예산소진시,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년 소상공인(1인자영업자 포함) 사회보험료 지원사업 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2167&sst=wr_datetime&sod=desc&page=8,2025.02.17 ~ 사업비소진시,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년 임산부 맘편한 패키지 지원사업 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2162&sst=wr_datetime&sod=desc&page=8,2025.02.17 ~ 예산소진시,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
사회적경제 컨설팅 프로그램 참여자 모집 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2161&sst=wr_datetime&sod=desc&page=8,2025.02.10 ~ 예산소진시,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
해외(베트남) 오프라인 매장입점 소공인 상시모집 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2159&sst=wr_datetime&sod=desc&page=9,2025.02.10 ~ 2025.12.31,접수중,,
2025년 우리동네 크라우드펀딩 지원사업 소상공인 모집 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2158&sst=wr_datetime&sod=desc&page=9,2025.02.10 ~ 예산소진시,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
소상공인 배달·택배비 지원 사업 시행 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2157&sst=wr_datetime&sod=desc&page=9,2025.02.17 ~ 2025.12.31,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년 글로벌 IP스타기업 육성(IP기반 해외진출지원)사업 해외등록비용 지원사업 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2154&sst=wr_datetime&sod=desc&page=9,2025.02.03 ~ 2025.11.28,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년 소상공인 온라인 판로 지원사업 통합 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2147&sst=wr_datetime&sod=desc&page=9,2025.01.24 ~ 2025.12.31,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
2025년도 상반기 경영안정자금 지원계획 공고,https://www.gjsec.kr/bbs/board.php?bo_table=csupport&wr_id=2140&sst=wr_datetime&sod=desc&page=10,2025.01.21 ~ 자금소진시,접수중,,PDF 다운로드 실패: max() arg is an empty sequence
